Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
244,218,99.279,27.687,0,5.445,1.274,2.047,3.593,6.762,0.143
244,219,99.232,27.763,0,5.179,1.459,2.648,5.304,11.466,0.143
244,220,100.294,28.266,0,4.202,1.426,2.546,5.029,10.751,0.170
245,215,133.229,50.683,0,4.647,1.459,2.605,5.100,10.715,0.185
245,216,132.581,50.352,0,5.848,1.452,2.624,5.231,11.241,0.209
246,217,79.770,47.021,0,4.390,1.416,2.495,4.827,10.032,0.454
246,218,79.609,46.683,0,4.185,1.207,1.853,3.141,5.815,0.143
246,219,79.758,47.365,0,4.047,1.282,2.115,3.924,8.062,0.143
247,217,3.943,52.679,0,5.022,1.468,2.761,5.853,13.608,0.200
247,218,4.531,52.655,0,5.529,1.559,3.018,6.468,14.951,0.143
247,219,9.241,51.301,0,5.304,1.540,3.017,6.630,15.845,0.152
247,220,7.239,52.362,0,7.183,1.764,3.707,8.472,20.535,0.143
247,221,5.699,52.456,0,7.228,1.755,3.678,8.404,20.430,0.125
247,222,7.130,51.904,0,7.328,1.615,3.193,6.942,16.185,0.250
247,223,8.055,51.540,0,5.181,1.592,3.115,6.729,15.634,0.167
247,224,4.657,53.567,0,6.136,1.655,3.336,7.368,17.394,0.167
247,225,4.359,53.003,0,4.740,1.406,2.503,4.944,10.587,0.143
248,218,195.345,51.244,0,5.096,1.441,2.573,5.067,10.764,0.146
248,219,195.631,51.237,0,5.498,1.417,2.499,4.854,10.156,0.143
249,219,18.233,98.125,0,6.187,1.602,3.156,6.858,16.017,0.143
249,220,18.589,99.013,0,4.981,1.606,3.178,6.929,16.214,0.143
249,221,17.611,100.160,0,5.374,1.470,2.693,5.484,12.127,0.177
250,220,18.769,52.269,0,5.102,1.455,2.592,5.051,10.538,0.146
250,221,18.449,51.634,0,4.129,1.207,1.871,3.241,6.219,0.125
250,222,19.274,52.331,0,4.225,1.351,2.299,4.285,8.561,0.250
250,223,19.322,52.595,0,5.344,1.328,2.192,3.953,7.640,0.167
250,224,17.773,52.322,0,4.806,1.430,2.558,5.070,10.881,0.175
250,225,18.694,52.250,0,5.711,1.464,2.652,5.301,11.438,0.256
250,226,18.566,51.943,0,5.109,1.415,2.530,5.012,10.746,0.168
251,220,58.435,58.486,0,4.843,1.459,2.703,5.626,12.825,0.147
251,221,58.480,58.500,0,5.139,1.499,2.830,5.958,13.628,0.128
251,222,57.822,58.591,0,6.819,1.403,2.440,4.669,9.629,0.250
251,223,57.777,58.580,0,6.290,1.609,3.175,6.902,16.110,0.167
251,224,58.405,58.429,0,6.057,1.463,2.667,5.373,11.695,0.167
251,225,57.487,57.629,0,6.388,1.367,2.341,4.418,9.003,0.143
251,226,57.200,58.487,0,5.722,1.543,2.936,6.145,13.801,0.186
251,227,57.666,57.620,0,7.409,1.417,2.476,4.741,9.751,0.167
251,228,57.536,57.426,0,4.485,1.408,2.474,4.785,9.970,0.250
251,229,57.203,57.672,0,4.698,1.508,2.882,6.188,14.493,0.245
251,230,54.958,57.608,0,4.362,1.429,2.563,5.095,10.972,0.203
252,221,6.426,33.670,0,5.404,1.431,2.560,5.059,10.809,0.174
252,222,5.474,34.691,0,5.598,1.444,2.617,5.275,11.542,0.250
252,223,6.161,34.879,0,4.367,1.447,2.593,5.112,10.837,0.167
253,223,100.468,28.792,0,4.705,1.419,2.495,4.835,10.118,0.167
253,224,100.663,28.641,0,4.350,1.367,2.346,4.432,9.022,0.183
253,225,100.278,28.363,0,5.658,1.382,2.399,4.619,9.665,0.150
253,226,100.073,27.253,0,5.291,1.489,2.782,5.795,13.131,0.171
254,223,182.688,31.947,0,3.396,1.330,2.252,4.228,8.611,0.167
254,224,182.567,33.467,0,4.984,1.386,2.390,4.530,9.246,0.175
255,225,78.768,45.724,0,5.079,1.465,2.662,5.348,11.622,0.143
255,226,78.488,45.096,0,6.175,1.491,2.741,5.556,12.142,0.167
255,227,80.762,42.715,0,6.292,1.559,2.991,6.320,14.343,0.167
256,225,9.816,49.988,0,6.849,1.528,2.919,6.190,14.201,0.143
256,226,9.839,50.542,0,5.572,1.494,2.792,5.797,13.038,0.189
256,227,10.233,49.976,0,7.264,1.569,3.037,6.484,14.890,0.167
256,228,10.171,50.450,0,8.013,1.530,2.862,5.872,12.921,0.250
256,229,10.218,51.021,0,6.997,1.652,3.341,7.431,17.710,0.167
256,230,11.958,51.013,0,5.625,1.602,3.190,7.020,16.630,0.200
256,231,10.605,50.670,0,7.358,1.632,3.221,6.940,15.949,0.250
256,232,11.305,50.788,0,7.449,1.519,2.872,6.014,13.615,0.125
256,233,11.087,50.867,0,7.235,1.571,3.038,6.482,14.869,0.167
256,234,10.698,51.979,0,6.841,1.570,3.028,6.434,14.692,0.143
256,235,9.992,51.985,0,6.016,1.600,3.188,7.026,16.655,0.200
256,236,10.476,52.221,0,7.979,1.566,3.039,6.539,15.200,0.250
256,237,9.771,51.994,0,6.478,1.524,2.937,6.316,14.727,0.167
256,238,10.255,52.370,0,6.965,1.529,2.887,6.006,13.440,0.250
257,225,20.170,101.445,0,5.646,1.477,2.689,5.389,11.624,0.253
257,226,18.784,101.440,0,6.444,1.389,2.396,4.538,9.256,0.167
257,227,19.489,101.268,0,5.905,1.538,2.911,6.064,13.574,0.167
258,227,3.396,52.586,0,5.644,1.388,2.420,4.679,9.841,0.167
258,228,3.180,52.314,0,5.052,1.279,2.076,3.719,7.237,0.250
258,229,3.415,51.956,0,4.610,1.565,3.081,6.762,16.061,0.183
258,230,3.372,52.181,0,4.120,1.351,2.302,4.369,9.053,0.200
258,231,3.403,52.378,0,4.483,1.339,2.248,4.154,8.282,0.250
258,232,2.900,52.177,0,4.718,1.449,2.595,5.111,10.831,0.125
258,233,3.222,52.412,0,4.863,1.381,2.393,4.592,9.571,0.331
258,234,2.738,52.114,0,5.260,1.534,2.881,5.949,13.207,0.146
258,235,2.700,52.006,0,6.278,1.456,2.614,5.143,10.852,0.200
258,236,2.551,52.334,0,6.415,1.438,2.565,5.052,10.764,0.250
258,237,2.999,52.458,0,4.999,1.416,2.537,5.067,11.014,0.167
258,238,2.082,51.801,0,5.321,1.453,2.689,5.607,12.815,0.251
259,229,20.507,100.490,0,4.730,1.494,2.746,5.550,12.046,0.230
259,230,20.888,98.897,0,4.516,1.535,2.944,6.248,14.295,0.210
260,230,20.340,55.265,0,4.609,1.485,2.717,5.481,11.913,0.213
260,231,20.610,55.421,0,5.044,1.436,2.548,4.962,10.369,0.250
260,232,20.550,54.062,0,4.191,1.416,2.524,5.009,10.821,0.186
260,233,21.526,53.345,0,4.839,1.369,2.384,4.633,9.834,0.334
261,231,5.332,14.510,0,5.426,1.400,2.454,4.778,10.129,0.250
261,232,6.498,15.939,0,4.147,1.351,2.317,4.425,9.233,0.200
262,232,55.031,54.566,0,4.243,1.369,2.396,4.725,10.277,0.231
262,233,54.812,54.587,0,4.860,1.490,2.737,5.528,11.998,0.167
262,234,54.679,54.333,0,5.392,1.391,2.396,4.517,9.132,0.146
263,232,62.763,57.903,0,5.348,1.560,3.030,6.502,15.024,0.160
263,233,62.413,57.405,0,5.477,1.507,2.786,5.664,12.381,0.167
263,234,63.451,56.691,0,5.023,1.560,3.027,6.510,15.106,0.146
264,234,193.909,48.273,0,4.564,1.426,2.587,5.270,11.746,0.163
264,235,193.780,48.329,0,3.962,1.314,2.152,3.843,7.338,0.200
265,235,20.256,98.541,0,4.125,1.479,2.764,5.732,12.862,0.203
265,236,20.192,98.581,0,5.015,1.417,2.504,4.877,10.238,0.250
266,237,83.685,81.602,0,4.082,1.344,2.309,4.458,9.484,0.167
266,238,83.496,83.379,0,4.780,1.294,2.085,3.672,6.939,0.250
266,239,84.307,82.749,0,4.263,1.294,2.128,3.886,7.729,0.125
266,240,84.343,82.988,0,5.263,1.497,2.801,5.804,12.984,0.234
266,241,82.828,83.011,0,4.655,1.510,2.851,5.978,13.563,0.143
267,238,58.575,102.473,0,5.035,1.409,2.486,4.844,10.201,0.251
267,239,58.386,102.481,0,4.689,1.433,2.542,4.967,10.460,0.126
267,240,58.458,102.698,0,4.357,1.363,2.300,4.242,8.378,0.167
267,241,57.775,102.498,0,4.931,1.361,2.293,4.231,8.373,0.143
268,239,5.490,62.534,0,5.946,1.577,3.028,6.369,14.340,0.130
268,240,5.326,62.657,0,5.811,1.536,2.897,6.020,13.467,0.167
269,239,52.022,98.934,0,5.192,1.419,2.527,4.993,10.712,0.125
269,240,52.366,98.558,0,5.570,1.361,2.349,4.520,9.511,0.167
269,241,52.762,98.158,0,4.234,1.322,2.185,3.970,7.780,0.143
270,240,3.469,51.707,0,5.360,1.456,2.708,5.678,13.062,0.234
270,241,3.311,51.375,0,5.916,1.488,2.761,5.680,12.659,0.143
270,242,3.591,51.315,0,5.983,1.333,2.242,4.192,8.548,0.250
270,243,3.051,51.442,0,6.095,1.509,2.805,5.748,12.681,0.167
270,244,2.478,51.494,0,5.562,1.446,2.585,5.058,10.595,0.143
271,241,4.999,16.580,0,5.793,1.591,3.126,6.777,15.786,0.143
271,242,6.343,16.821,0,3.769,1.422,2.620,5.457,12.502,0.250
271,243,6.113,17.276,0,4.446,1.289,2.105,3.812,7.529,0.203
271,244,5.752,17.049,0,4.711,1.438,2.657,5.495,12.405,0.161
272,242,10.652,51.673,0,7.542,1.665,3.342,7.351,17.300,0.250
272,243,10.904,51.369,0,6.476,1.635,3.257,7.120,16.662,0.167
272,244,10.731,51.829,0,8.713,1.519,2.839,5.851,13.001,0.143
272,245,11.091,51.608,0,8.760,1.606,3.131,6.698,15.345,0.250
272,246,10.713,51.340,0,8.025,1.446,2.588,5.112,10.908,0.200
272,247,10.992,51.823,0,7.346,1.470,2.683,5.412,11.794,0.143
272,248,10.812,51.561,0,7.802,1.496,2.753,5.561,12.049,0.250
272,249,10.690,51.477,0,8.181,1.564,2.974,6.207,13.901,0.250
272,250,11.093,51.822,0,7.224,1.576,3.067,6.585,15.210,0.250
272,251,10.632,50.623,0,7.484,1.571,3.035,6.460,14.767,0.169
272,252,10.255,51.436,0,6.545,1.632,3.260,7.172,16.928,0.200
272,253,9.945,50.362,0,6.651,1.542,2.955,6.241,14.172,0.200
272,254,9.507,50.605,0,6.857,1.433,2.537,4.959,10.485,0.167
272,255,9.603,50.427,0,6.995,1.407,2.449,4.675,9.584,0.369
272,256,9.455,49.588,0,6.579,1.396,2.437,4.689,9.751,0.333
272,257,9.327,49.584,0,6.391,1.438,2.607,5.276,11.648,0.200
273,243,1.757,29.986,0,3.933,1.330,2.226,4.132,8.341,0.167
273,244,1.825,30.176,0,3.886,1.373,2.410,4.828,10.794,0.143
274,244,8.215,40.578,0,7.323,1.701,3.493,7.841,18.769,0.143
